y=1.84211e-08;u=5
y=23.8317;u=269.516
y=23.1774;u=257.174
y=22.3161;u=242.863
y=21.2542;u=226.617
y=20.0354;u=208.674
y=18.6546;u=200.921
y=17.1364;u=197.666
y=16.6648;u=198.996
y=16.4336;u=201.574
y=16.6128;u=207.81
y=16.8349;u=216.281
y=17.414;u=227.783
y=18.1453;u=241.018
y=19.1492;u=256.504
y=20.272;u=273.56
y=21.596;u=286.563
y=23.0368;u=292.064
y=24.049;u=293.133
y=24.3966;u=291.188
y=24.434;u=286.858
y=24.2321;u=279.523
y=23.8394;u=269.593
y=23.1844;u=257.245
y=22.3224;u=242.927
y=21.26;u=226.676
y=20.0407;u=208.727
y=18.6594;u=200.969
y=17.1408;u=197.71
y=16.6687;u=199.036
y=16.4372;u=201.611
y=16.6161;u=207.843
y=16.8378;u=216.311
y=17.4167;u=227.81
y=18.1477;u=241.043
y=19.1515;u=256.527
y=20.274;u=273.58
y=21.5979;u=286.582
y=23.0385;u=292.081
y=24.0505;u=293.148
y=24.398;u=291.203
y=24.4352;u=286.871
y=24.2332;u=279.535
y=23.8404;u=269.604
y=23.1854;u=257.254
y=22.3233;u=242.935
y=21.2608;u=226.684
y=20.0414;u=208.734
y=18.6601;u=200.976
y=17.1414;u=197.716
y=16.6693;u=199.041
y=16.4377;u=201.616
y=16.6166;u=207.848
y=16.8383;u=216.315
y=17.4171;u=227.814
y=18.1481;u=241.046
y=19.1518;u=256.53
y=20.2743;u=273.583
y=21.5981;u=286.584
y=23.0387;u=292.084
y=24.0507;u=293.151
y=24.3982;u=291.204
y=24.4354;u=286.873
y=24.2334;u=279.536
y=23.8406;u=269.605
y=23.1855;u=257.256
y=22.3234;u=242.937
y=21.2609;u=226.685
y=20.0415;u=208.735
y=18.6602;u=200.976
y=17.1415;u=197.717
y=16.6694;u=199.042
y=16.4378;u=201.616
y=16.6166;u=207.848
y=16.8383;u=216.315
y=17.4172;u=227.814
y=18.1481;u=241.047
y=19.1518;u=256.53
y=20.2743;u=273.584
y=21.5982;u=286.585
y=23.0387;u=292.084
y=24.0507;u=293.151
y=24.3983;u=291.205
y=24.4354;u=286.873
y=24.2334;u=279.536
y=23.8406;u=269.606
y=23.1855;u=257.256
y=22.3235;u=242.937
y=21.2609;u=226.685
y=20.0415;u=208.735
y=18.6602;u=200.977
y=17.1415;u=197.717
y=16.6694;u=199.042
y=16.4378;u=201.616
y=16.6166;u=207.848
y=16.8383;u=216.315
y=17.4172;u=227.814
y=18.1481;u=241.047
y=19.1518;u=256.53
y=20.2743;u=273.584
y=21.5982;u=286.585
y=23.0387;u=292.084
y=24.0507;u=293.151
y=24.3983;u=291.205
y=24.4354;u=286.873
y=24.2334;u=279.536
y=23.8406;u=269.606
y=23.1855;u=257.256
y=22.3235;u=242.937
y=21.2609;u=226.685
y=20.0415;u=208.735
y=18.6602;u=200.977
y=17.1415;u=197.717
y=16.6694;u=199.042
y=16.4378;u=201.616
y=16.6166;u=207.848
y=16.8383;u=216.315
y=17.4172;u=227.814
y=18.1481;u=241.047
y=19.1518;u=256.53
y=20.2743;u=273.584
y=21.5982;u=286.585
y=23.0387;u=292.084
y=24.0507;u=293.151
y=24.3983;u=291.205
y=24.4354;u=286.873
y=24.2334;u=279.536
y=23.8406;u=269.606
